Frame,Time,Action
1995,44.12,AIStartemily_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
2172,47.66,AIEndemily_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
2339,51,AIStartemily_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
2484,53.9,AIEndemily_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
2920,62.62,AIStartmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
3091,66.04,AIEndmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
3269,69.6,AIStartmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
3502,74.26,AIEndmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
3638,76.98,AIStartmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
3824,80.7,AIEndmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
4183,87.88,AIStartmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
4376,91.74,AIEndmarco_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
5363,111.48,AIStartdara_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
5506,114.34,AIEnddara_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
5711,118.44,AIStartdara_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
5879,121.8,AIEnddara_unity_npcs-iwomj (Inworld.Sample.RPM.InworldRPMCharacter)
